id,emoji,name,description,keywords,sentiment_label,sentiment_score
749,🥟,Dumpling,"A dumpling of dough and filling, as folded and pinched closed for steaming or frying. Associated with cuisines around the world, including China (jiaozi), Japan (gyoza or dango), Poland (pierogi), and Spain and Latin America (empanada). Facebook's design resembles a xiaolongbao, a Chinese soup dumpling.",chinese soup dumpling xiaolongbao resembles empanada facebook design,NEGATIVE,0.9885815978050232
750,🥠,Fortune Cookie,"A golden-brown, crescent-shaped, vanilla-flavored fortune cookie. Usually depicted with a strip of paper—on which a wise saying, lucky numbers, or Chinese vocabulary is written—peaking out of its hollow shell. Given at the end of meals at Chinese restaurants in the West.",fortune cookie usually flavored lucky numbers chinese depicted vanilla,NEGATIVE,0.9832770824432373
751,🥡,Takeout Box,"A tall, folded, paper carton, usually white, as used for takeout/takeaway food at Western Chinese restaurants. Most platforms depict chopsticks inside its open lid, labeled with a red, multi-tiered, traditional Chinese building. Also called an oyster pail.",called oyster pail food western chinese restaurants depict chopsticks inside,NEGATIVE,0.9740343689918518
752,🦪,Oyster,"Half of an opened oyster shell with gray, pink, or orange flesh inside. Many platforms also include a pearl in the shell.",oyster shell gray opened pearl half pink include,POSITIVE,0.8386321067810059
753,🍦,Soft Ice Cream,"A swirl of soft-serve ice cream atop a wafer-style cone, white or cream-colored, as vanilla, on most platforms. Facebook’s design suggests strawberry. May be used more generally for ice cream, frozen yogurt, and frozen treats.",generally ice cream serve frozen yogurt cone white colored vanilla,NEGATIVE,0.9821828007698059
754,🍧,Shaved Ice,"A mound of shaved ice (snow cone) served in a dessert bowl with a short spoon, flavored with a cherry-red syrup on many platforms. Associated with Hawaiian shave ice or Japanese kakigori.",ice snow cone hawaiian shave mound shaved served japanese kakigori,NEGATIVE,0.9684897661209106
755,🍨,Ice Cream,"One or more scoops of ice cream in a dessert bowl, variously topped with sprinkles, wafer rolls, or cherry and syrup. Flavors vary from vanilla, chocolate, and/or strawberry across platforms.",scoops ice cream dessert bowl cherry syrup flavors,NEGATIVE,0.6297881603240967
756,🍩,Doughnut,A chocolate-glazed donut (or doughnut) with rainbow sprinkles. WhatsApp features a pink glaze associated with The Simpsons. May resemble the Bagel at small sizes.,glazed donut doughnut rainbow simpsons resemble bagel chocolate sprinkles,NEGATIVE,0.9911961555480957
757,🍪,Cookie,A golden-brown chocolate chip cookie or biscuit. Used to represent cookies or biscuits in general.,cookie biscuit used chocolate chip represent cookies biscuits,NEGATIVE,0.6707531213760376
758,🎂,Birthday Cake,"A frosted cake with lit candles, as presented for a birthday celebration. The style of cake widely varies across platforms. With white frosting and strawberries, Apple and Google’s designs suggest a Japanese Christmas cake. Other vendors depict a chocolate, pink, and/or sponge cake.",japanese christmas cake frosted lit celebration style widely,POSITIVE,0.9807891249656677
759,🍰,Shortcake,"A slice of strawberry shortcake, layered with whipped cream and topped with a whole strawberry. Like the Birthday Cake, may be used to represent birthday celebrations or cake in general.",slice strawberry shortcake layered like birthday cake used,POSITIVE,0.9838176965713501
760,🧁,Cupcake,"An individual cupcake in a liner topped with a swirl of frosting and sprinkles. The style of cupcake widely varies across platforms. The cake may be sponge or chocolate, the frosting pink or white, and the sprinkles rainbow or red.",individual cupcake liner style widely sprinkles varies,POSITIVE,0.9126469492912292
761,🥧,Pie,"A baked dish with a pastry crust, filled with sweet or savory ingredients. Appearance widely varies by platform. Apple depicts a whole pie in a tin, its crimped crust scored to let out steam. Google shows a slice of pumpkin pie as served at Thanksgiving, WhatsApp and Twitter a slice of cherry pie.",pie served thanksgiving pumpkin apple depicts slice dish pastry crust,NEGATIVE,0.9922863245010376
762,🍫,Chocolate Bar,"A block of dark chocolate, usually shown in a red foil wrapper peeled back to show squares of the candy. WhatsApp displays the wrapper in purple, a color commonly associated with Cadbury chocolate.",candy whatsapp displays wrapper associated cadbury chocolate squares usually shown,NEGATIVE,0.9758138060569763
763,🍬,Candy,A small piece of candy wrapped in plastic or wax paper with twists on its ends. Shape and color vary widely by platform. Facebook’s design used to resemble a classic unwrapped red-and-white peppermint. May also be called sweets or lollies.,piece candy wrapped small plastic called sweets lollies,NEGATIVE,0.9727066159248352
764,🍭,Lollipop,"A colorful lollipop made of swirled hard candy attached to a stick. Colors vary by platform, though most designs show rainbow colors or pinks and reds.",colorful lollipop swirled hard candy attached stick,POSITIVE,0.6984096169471741
765,🍮,Custard,"A golden-yellow custard dessert, as a crème caramel or flan, topped with a layer of caramel. Shown on a plate, molded in a ramekin-shape and often in a pool of caramel sauce.",yellow custard dessert crème golden caramel flan,NEGATIVE,0.9543024897575378
766,🍯,Honey Pot,"A golden-yellow pot of honey, as made by bees and desired by bears. Shown with the sweet substance oozing down its sides, often with a honey dipper inside the small vessel. ",yellow pot honey bees dipper golden inside,POSITIVE,0.9479262828826904
767,🍼,Baby Bottle,"A bottle of milk or formula, as or fed to a baby, with a bluish cap and rubber nipple or teat. Positioned upright or at a 45° angle, and filled to various levels, sometimes showing fill lines. Often used for newborns and childrearing. See also Breast-Feeding.",bottle milk formula breast feeding fed childrearing baby,NEGATIVE,0.988910436630249
768,🥛,Glass of Milk,"A tall glass of white milk, as from a cow but also other mammals, nuts, or plants. Most platforms depict a glass filled near to the brim, but some show a glass half-full—or half-empty.",glass white milk cow tall mammals platforms depict,NEGATIVE,0.9965721368789673
769,☕,Hot Beverage,"A cup of a steaming-hot beverage, usually taken as coffee or tea. Sometimes shown on a saucer. Samsung features a foamy-white tulip latte art design.",latte hot beverage white tulip steaming usually art,NEGATIVE,0.9647075533866882
770,🫖,Teapot,"A classic teapot with a wide bulbous body, a spout, a handle, and a lid. Can be used to talk about tea, tea time, or warm beverages in general.",classic teapot wide bulbous tea,POSITIVE,0.9833254814147949
771,🍵,Teacup Without Handle,"A cup of green tea, as the minty-colored Japanese matcha, usually shown on a wooden mat. Matcha is traditionally served in a small bowl that resembles a cup without a handle. Often taken as a bowl of soup, such as a split pea.",matcha traditionally served colored japanese cup green tea usually,NEGATIVE,0.9942160248756409
772,🍶,Sake,"Japanese sake, an alcoholic beverage made from rice. Shown as a sake set with a carafe (tokkuri) and drinking cup (choko). Most platforms show a cream colored sake set with a blue or red stripe motif. Samsung's design used to show the Japanese script for 'sake' in red along the side of the carafe.",japanese sake alcoholic beverage rice shown colored script,NEGATIVE,0.9900333285331726
773,🍾,Bottle with Popping Cork,"A green bottle of champagne or sparkling wine with label, its cork popping to shoot out its bubbly contents. Used for a range of celebratory occasions, such as New Year's Eve, birthdays, weddings, or other life accomplishments. ",green bottle champagne sparkling wine,POSITIVE,0.9985235333442688
774,🍷,Wine Glass,Red wine served in a stemmed glass. Google previously displayed an orange-colored drink that resembled cognac.,red wine served stemmed drink resembled cognac colored,NEGATIVE,0.9797377586364746
775,🍸,Cocktail Glass,"A stemmed glass with a cone-shaped bowl, used for serving cocktails. Depicted as a martini garnished with an olive. Might be gin or vodka, shaken or stirred. See also Tropical Drink.",stemmed glass cocktails depicted martini olive gin vodka serving shaken,NEGATIVE,0.9472235441207886
776,🍹,Tropical Drink,"A sunset-orange-colored tropical beverage in a stemmed glass, as a rum punch or mai tai. Served with a straw and fruit garnish. Many platforms include a cocktail umbrella, hence umbrella drink. Samsung previously featured an electric-blue concoction. See also Cocktail Glass.",cocktail umbrella drink glass colored tropical beverage stemmed,NEGATIVE,0.9709738492965698
777,🍺,Beer Mug,"A beer, as a golden-colored lager, in a frosty mug. Depicted with a frothy head spilling over the brim. Clinking Beer Mugs is a variation that displays two such beer mugs.",clinking beer mugs brim lager frosty mug displays golden colored,NEGATIVE,0.9590820074081421
778,🍻,Clinking Beer Mugs,"Two frosty mugs of beer with frothy heads being clinked together, as done at a celebratory or convivial toast (“Cheers!”). Several platforms include stylized lines to mark the clinking. See also Clinking Glasses.",frosty mugs beer frothy clinking glasses heads,POSITIVE,0.9935221076011658
779,🥂,Clinking Glasses,"Two flutes of champagne or sparkling wine being clinked together, as done at a celebratory or convivial toast (“Cheers!”). Samsung’s design suggests two glasses of white wine. Some platforms include stylized links to mark the clinking. See also Clinking Beer Mugs—and Bottle With Popping Cork for a refill.",sparkling wine clinked flutes champagne glasses white celebratory,POSITIVE,0.9817838668823242
780,🥃,Tumbler Glass,"A short, flat glass, as used for brown liquors like whiskey or Scotch whisky. Apple and WhatsApp serve theirs neat, while other platforms include ice (""on the rocks""). Samsung's glass features the faint initials ONI, an apparent in-company easter egg.  ",samsung glass rocks features flat used,NEGATIVE,0.990995466709137
781,🥤,Cup with Straw,"A drinking cup with a straw. Depicted on many platforms as a disposable cup with a lid and bendy straw, as used to serve soft drinks at fast-food restaurants. May be used for a range of non-alcoholic beverages, including milkshakes, smoothies, juice, and to-go beverages.",drinking cup straw depicted disposable bendy used lid,NEGATIVE,0.992928683757782
782,🧋,Bubble Tea,"Bubble tea is a tea-based drink invented in Taiwan which typically contain tea, flavored milk, and sugar. Commonly served with tapioca pearls, also known as boba, in a plastic cup with a wide straw.",bubble tea based drink typically contain flavored milk,NEGATIVE,0.897958517074585
783,🧃,Beverage Box,"Originally proposed as Juice, this emoji can be used to talk about juice or other liquids that come in boxes with straws. It can also be used metaphorically to talk about power, energy, respect, or an elusive quality that makes someone special.",proposed juice emoji used talk liquids,NEGATIVE,0.9524769186973572
784,🧉,Mate,Mate is a caffeinated beverage popular in many South American countries. Green in color (from a key ingredient: the dried leaves of yerba mate) and consumed via a metal straw.,mate caffeinated beverage yerba consumed leaves popular,POSITIVE,0.9432562589645386
785,🧊,Ice,A blue cube of ice. Can be used to talk about ice or cold temperatures in general. This emoji can also be used metaphorically to talk about something that is cool or chill.,temperatures general emoji blue cube ice used cold talk,NEGATIVE,0.9673493504524231
786,🥢,Chopsticks,"A pair of equal-length chopsticks, an eating utensil used throughout East Asia. Design and color vary widely by platform, though often red or wood-colored and with tips angled together. Featured in many platforms' Steaming Bowl of Food and Takeout Box. A counterpart to utensils such as Fork and Knife and Spoon.",chopsticks eating utensil utensils used,POSITIVE,0.8385279774665833
787,🍽️, Fork and Knife with Plate,"A silver fork and knife on either side of a white plate, as set for dinner or another meal. Often used more generally for eating and dining. May be paired with Spoon.  ",silver fork knife dining paired spoon white plate set dinner,NEGATIVE,0.8101458549499512
788,🍴,Fork and Knife,"A silver fork to the left of a knife, silverware or cutlery used to eat a meal. Often used more generally for eating and dining. May be paired with Spoon or used with Fork and Knife With Plate.",knife silverware cutlery fork plate used silver,NEGATIVE,0.9753574728965759
789,🥄,Spoon,"A silver spoon, as used to eat soup, cereal, or ice cream as well as serve food or stir drinks. Positioned at various angles across platforms. May be paired with Fork and Knife, Fork and Knife With Plate, and Bowl With Spoon.",silver spoon used bowl plate eat,NEGATIVE,0.7068800330162048
790,🕴️, Person in Suit Levitating,"A person wearing a suit, hovering above the ground with a shadow displayed beneath them. Generally shown wearing a fedora or similar style of hat.",suit hovering ground shadow wearing displayed beneath,NEGATIVE,0.8633503317832947
791,🧗,Person Climbing,"A rock climber, shown climbing up a rock formation. Some platforms show the climber with a helmet and/or rope. The Emojipedia Sample image was created with assistance from World Champion Rock Climber Sasha DiGiulian.",rock climber shown climbing champion,NEGATIVE,0.7761281728744507
792,🧗‍♂️,♂️ Man Climbing,"A male rock climber, shown climbing up a rock formation. Some platforms show the climber with a helmet, and/or rope.",male rock climber shown climbing platforms,NEGATIVE,0.8008667826652527
793,🧗‍♀️,♀️ Woman Climbing,"A female rock climber, shown climbing up a rock formation. Some platforms show the climber with a helmet, and/or rope.",female rock climber shown climbing,NEGATIVE,0.7813289761543274
794,🤺,Person Fencing,"A person shown in the sport of fencing, with a Rapier-style sword, mask, and protective clothing.",sport fencing rapier shown style person,POSITIVE,0.9832112789154053
795,🏇,Horse Racing,"A jockey riding a horse in a horse race. Shown riding to the left of screen on all major platforms. Emoji modifiers change the skin tone of the jockey on some platforms, which can be difficult to discern at small sizes.",jockey riding horse race shown,NEGATIVE,0.9924561977386475
796,⛷️, Skier,"A person downhill-skiiing. Displayed with poles and skis, generally wearing a mask.",person downhill skiiing displayed poles skis generally wearing mask,NEGATIVE,0.9806352853775024
797,🏂,Snowboarder,A person snowboarding downhill at a ski resort. Wearing clothing designed for cold climates.,person snowboarding downhill ski resort wearing,NEGATIVE,0.9975831508636475
798,🏌️, Person Golfing,"A person swinging a golf club, attempting to hit a golf ball toward the flag on the green.",person swinging golf attempting hit club ball flag,NEGATIVE,0.9858377575874329
799,🏌️‍♂️,‍♂️ Man Golfing,The male version of the 🏌 Golfer emoji. Currently identical in appearance to the non-gendered base emoji.,version golfer emoji currently male gendered base identical,NEGATIVE,0.9099891781806946
800,🏌️‍♀️,‍♀️ Woman Golfing,The female version of the 🏌 Golfer emoji.,golfer emoji version female,NEGATIVE,0.8762063980102539
801,🏄,Person Surfing,"A person on a surfboard, riding on a wave in the ocean. Wears a wetsuit or board shorts in most versions.",person surfboard riding wave ocean wears wetsuit,NEGATIVE,0.884188175201416
802,🏄‍♂️,♂️ Man Surfing,The male version of the 🏄 Surfer emoji. Currently identical in appearance to the non-gendered base emoji.,surfer emoji currently version gendered base male identical,NEGATIVE,0.8295909762382507
803,🏄‍♀️,♀️ Woman Surfing,The female version of the 🏄 Surfer emoji.,surfer emoji version female,NEGATIVE,0.9314289093017578
804,🚣,Person Rowing Boat,A small rowboat suitable for a small number of people. Couples or families sometimes hire these as an activity on calm waters.,small rowboat suitable activity calm waters,POSITIVE,0.9625402688980103
805,🚣‍♂️,♂️ Man Rowing Boat,The male version of the 🚣 Rowboat emoji. Currently identical in appearance to the non-gendered base emoji.,version rowboat emoji currently male gendered base identical,NEGATIVE,0.9787157773971558
806,🚣‍♀️,♀️ Woman Rowing Boat,The female version of the 🚣 Rowboat emoji.,rowboat emoji version female,NEGATIVE,0.9879199266433716
807,🏊,Person Swimming,"A person swimming in a pool, the ocean, or another body of water. Lacked goggles on prior versions of iOS.",person swimming water lacked goggles pool prior versions,NEGATIVE,0.9982944130897522
808,🏊‍♂️,♂️ Man Swimming,The male version of the 🏊 Swimmer emoji. Currently identical in appearance to the non-gendered base emoji.,version swimmer emoji currently male gendered base identical,NEGATIVE,0.8245601058006287
809,🏊‍♀️,♀️ Woman Swimming,The female version of the 🏊 Swimmer emoji.,swimmer emoji version female,POSITIVE,0.6480566263198853
810,⛹️, Person Bouncing Ball,"A person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball.",basketballer running dribbling bouncing basketball person ball displayed generally,NEGATIVE,0.9796903133392334
811,⛹️‍♂️,‍♂️ Man Bouncing Ball,The male version of the ⛹ Person With Ball emoji. Currently identical in appearance to the non-gendered base emoji.,person ball emoji currently gendered base identical male version,NEGATIVE,0.9785962104797363
812,⛹️‍♀️,‍♀️ Woman Bouncing Ball,The female version of the ⛹ Person With Ball emoji.,person ball emoji female version,NEGATIVE,0.9753562211990356
813,🏋️, Person Lifting Weights,A person lifting a barbell loaded with weights above their head.,person lifting barbell loaded weights head,NEGATIVE,0.9739341735839844
814,🏋️‍♂️,‍♂️ Man Lifting Weights,The male version of the 🏋 Weight Lifter emoji. Currently identical in appearance to the non-gendered base emoji.,weight lifter emoji currently gendered base identical male version,NEGATIVE,0.916371762752533
815,🏋️‍♀️,‍♀️ Woman Lifting Weights,The female version of the 🏋 Weight Lifter emoji.,weight lifter emoji female version,NEGATIVE,0.665760338306427
816,🚴,Person Biking,"A person riding a bicycle for leisure, sport or transport. Intended to be gender-neutral.",person riding bicycle leisure sport,NEGATIVE,0.9973160624504089
817,🚴‍♂️,♂️ Man Biking,The male version of the 🚴 Bicyclist emoji. Currently identical in appearance to the non-gendered base emoji.,version bicyclist emoji currently gendered base identical male,NEGATIVE,0.9882717728614807
818,🚴‍♀️,♀️ Woman Biking,The female version of the 🚴 Bicyclist emoji.,bicyclist emoji version female,NEGATIVE,0.988272488117218
819,🚵,Person Mountain Biking,A person (cyclist) who rides a mountain bike: a type of off-road bicycle. Intended to be gender-neutral.,bicycle intended gender cyclist rides mountain person,NEGATIVE,0.9967124462127686
820,🚵‍♂️,♂️ Man Mountain Biking,The male version of the 🚵 Mountain Bicyclist emoji. Currently identical in appearance to the non-gendered base emoji.,mountain bicyclist emoji currently gendered base identical,NEGATIVE,0.9881719946861267
821,🚵‍♀️,♀️ Woman Mountain Biking,The female version of the 🚵 Mountain Bicyclist emoji.,mountain bicyclist emoji female version,NEGATIVE,0.9862746596336365
822,🤸,Person Cartwheeling,"A person doing a cartwheel, representing the sport of gymnastics.",person doing cartwheel representing sport gymnastics,POSITIVE,0.9863995313644409
823,🤸‍♂️,♂️ Man Cartwheeling,"The Man Cartwheeling emoji is a ZWJ sequence combining 🤸 Person Cartwheeling, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",man cartwheeling emoji zwj sequence single,NEGATIVE,0.9988418221473694
824,🤸‍♀️,♀️ Woman Cartwheeling,"The Woman Cartwheeling emoji is a ZWJ sequence combining 🤸 Person Cartwheeling, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",woman cartwheeling emoji zwj sequence supported,NEGATIVE,0.9986788630485535
825,🤼,People Wrestling,Two people in the sport of wrestling.,people sport wrestling,POSITIVE,0.8749074935913086
826,🤼‍♂️,♂️ Men Wrestling,"The Men Wrestling emoji is a ZWJ sequence combining 🤼 People Wrestling, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",men wrestling emoji zwj sequence display single,NEGATIVE,0.9985535740852356
827,🤼‍♀️,♀️ Women Wrestling,"The Women Wrestling emoji is a ZWJ sequence combining 🤼 People Wrestling, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",women wrestling emoji zwj sequence display single,NEGATIVE,0.9983749389648438
828,🤽,Person Playing Water Polo,"A person shown in water with a ball, playing the sport of water polo. ",sport water polo ball playing,POSITIVE,0.7404603362083435
829,🤽‍♂️,♂️ Man Playing Water Polo,"The Man Playing Water Polo emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",water polo emoji zwj sequence playing,NEGATIVE,0.998267650604248
830,🤽‍♀️,♀️ Woman Playing Water Polo,"The Woman Playing Water Polo emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",water polo emoji zwj sequence playing,NEGATIVE,0.9981136322021484
831,🤾,Person Playing Handball,Person Playing Handball was approved as part of Unicode 9.0 in 2016 under the name “Handball” and added to Emoji 3.0 in 2016.,handball approved unicode 2016 added emoji playing,NEGATIVE,0.9882297515869141
832,🤾‍♂️,♂️ Man Playing Handball,"The Man Playing Handball emoji is a ZWJ sequence combining 🤾 Person Playing Handball, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",handball emoji zwj playing sequence display single,NEGATIVE,0.9984629154205322
833,🤾‍♀️,♀️ Woman Playing Handball,"The Woman Playing Handball emoji is a ZWJ sequence combining 🤾 Person Playing Handball, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",handball emoji zwj playing sequence woman display single,NEGATIVE,0.9983994364738464
834,🤹,Person Juggling,"A person juggling between three and five colored balls. The person shown in this emoji generally has the appearance of a man, and wears a hat on most major platforms.",person juggling colored balls shown emoji,NEGATIVE,0.986868143081665
835,🤹‍♂️,♂️ Man Juggling,"The Man Juggling emoji is a ZWJ sequence combining 🤹 Person Juggling, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",man juggling emoji zwj sequence display single supported,NEGATIVE,0.9985402822494507
836,🤹‍♀️,♀️ Woman Juggling,"The Woman Juggling emoji is a ZWJ sequence combining 🤹 Person Juggling, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",woman juggling emoji zwj sequence supported display single,NEGATIVE,0.9984729886054993
837,🧘,Person in Lotus Position,Person in Lotus Position was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,position approved unicode 10 lotus 2017 person,NEGATIVE,0.9008572697639465
838,🧘‍♂️,♂️ Man in Lotus Position,"The Man in Lotus Position emoji is a ZWJ sequence combining 🧘 Person in Lotus Position, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",lotus position emoji zwj man sequence person,NEGATIVE,0.9982174038887024
839,🧘‍♀️,♀️ Woman in Lotus Position,"The Woman in Lotus Position emoji is a ZWJ sequence combining 🧘 Person in Lotus Position, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",lotus position emoji zwj woman sequence person,NEGATIVE,0.9979894161224365
840,🎪,Circus Tent,"A circular ‘big top’ circus tent, with a triangle flag on top.",circus tent triangle big flag circular,NEGATIVE,0.962151825428009
841,🛹,Skateboard,"A skateboard emoji, shown on some platforms from the top and others showing the under-side of the board.",skateboard emoji shown platforms showing board,NEGATIVE,0.9967043995857239
842,🛼,Roller Skate,A single vibrantly colored roller skate. Colors and styles vary across platform.,roller skate colors colored styles vibrantly,POSITIVE,0.9992733597755432
843,🛶,Canoe,Canoe was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,canoe approved unicode 2016 added emoji,NEGATIVE,0.9144850373268127
844,🎗️, Reminder Ribbon,"An awareness ribbon, worn to show support of a cause or group.",awareness ribbon worn support cause group,POSITIVE,0.8943769931793213
845,🎟️, Admission Tickets,"A ticket or tickets to an event that may say ""Admit One"" on the front. Shown in pink or yellow on most platforms.",tickets event ticket say admit,NEGATIVE,0.9704402685165405
846,🎫,Ticket,"A paper ticket, which may be for a theatre show, sporting event, or other ticketed performance. Shown in blue, yellow or grey on most platforms.",paper ticket theatre sporting event ticketed,NEGATIVE,0.992280900478363
847,🎖️, Military Medal,A ribbon and medallion generally awarded to a person in the military for heroic acts.,ribbon medallion generally military heroic acts awarded person,POSITIVE,0.9984276294708252
848,🏆,Trophy,"A trophy given as an recognition of achievement, usually in sports. The trophy emoji is a gold cup, with a engraving on the bottom detailing the award.",trophy emoji gold sports cup usually,POSITIVE,0.9318413138389587
849,🏅,Sports Medal,"A gold medal, given to a person who has won a sporting event, such as a race. Not to be confused with the military medal emoji.",medal emoji gold given military person,NEGATIVE,0.7541892528533936
850,🥇,1st Place Medal,"
1st Place Medal was approved as part of Unicode 9.0 in 2016 under the name “First Place Medal” and added to Emoji 3.0 in 2016.",medal added emoji approved unicode 1st place 2016,NEGATIVE,0.9280621409416199
851,🥈,2nd Place Medal,"
2nd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Second Place Medal” and added to Emoji 3.0 in 2016.",second place medal 2nd approved unicode added emoji 2016,NEGATIVE,0.9825500845909119
852,🥉,3rd Place Medal,"
3rd Place Medal was approved as part of Unicode 9.0 in 2016 under the name “Third Place Medal” and added to Emoji 3.0 in 2016.",3rd place medal added emoji approved unicode 2016,NEGATIVE,0.9793599843978882
853,⚽,Soccer Ball,"A round, black and white ball used in the game of soccer, which is known as football in much of the world. See also: emojis for the World Cup.",emojis world cup black white ball football used soccer known,POSITIVE,0.8227051496505737
854,⚾,Baseball,"A white baseball, with regulation red stitching. Used in the game of the same name, baseball.",white baseball used game regulation red,NEGATIVE,0.9841140508651733
855,🥎,Softball,"A softball, which is differentiated from a baseball by size (it is larger, though hard to tell in emoji form) and color (yellow, not white).",softball differentiated baseball size,POSITIVE,0.6509281992912292
856,🏀,Basketball,"An orange-colored basketball displayed with a hoop. Many versions of this emoji omit the hoop, and display only the basketball.",orange colored basketball displayed hoop emoji omit versions display,NEGATIVE,0.9981209635734558
857,🏐,Volleyball,"A volleyball emoji, showing the round ball used in the sport. Played as part of the Summer Olympic Games.",volleyball emoji showing round ball used sport olympic,NEGATIVE,0.9908086657524109
858,🏈,American Football,"The oval ball used in the game of American football, known as gridiron in some countries.",oval ball used football known gridiron game american,NEGATIVE,0.838309109210968
859,🏉,Rugby Football,The oval-shaped ball used in the game of rugby. Varies slightly in shape in the two main versions of the game: rugby union and rugby league.,shaped ball used oval game rugby union,NEGATIVE,0.8452119827270508
860,🎾,Tennis,"A tennis racket (racquet) with a tennis ball. Only a ball is shown on Apple, LG, Twitter, Facebook, and Mozilla platforms.",racquet tennis ball racket,NEGATIVE,0.9828640222549438
861,🥏,Flying Disc,"A flying disc, more commonly known as a frisbee. Used in the sport of Ultimate or disc golf.",frisbee used sport commonly known flying disc,NEGATIVE,0.8552423715591431
862,🎳,Bowling,"Ten-pin bowling emoji, showing a bowling ball and pins.",pin bowling emoji showing ball pins,NEGATIVE,0.9882811903953552
863,🏏,Cricket Game,"A cricket bat, with a cricket ball also shown. May be displayed with a wicket present.",cricket ball shown bat wicket present,POSITIVE,0.9286940097808838
864,🏑,Field Hockey,"A hockey stick and ball, used in the sport of field hockey. Not to be confused with the ice hockey stick and puck.",hockey stick ball puck ice used sport field,NEGATIVE,0.7263904213905334
865,🏒,Ice Hockey,"A hockey stick and puck, used in the sport of ice hockey. Not to be confused with the field hockey stick and ball.",hockey stick ball puck field used sport,NEGATIVE,0.6919068098068237
866,🥍,Lacrosse,Lacrosse was approved as part of Unicode 11.0 in 2018 under the name “Lacrosse Stick and Ball” and added to Emoji 11.0 in 2018.,lacrosse approved unicode 2018 stick ball 11,NEGATIVE,0.9858352541923523
867,🏓,Ping Pong,A paddle and ping pong ball used in the sport of table tennis.,paddle ping pong ball sport table tennis used,POSITIVE,0.8355980515480042
868,🏸,Badminton,Badminton was approved as part of Unicode 8.0 in 2015 under the name “Badminton Racquet and Shuttlecock” and added to Emoji 1.0 in 2015.,badminton approved unicode 2015 shuttlecock added emoji racquet,NEGATIVE,0.9805672764778137
869,🥊,Boxing Glove,"A padded boxing glove, used in the sport of boxing. Usually red.",boxing glove used padded usually red sport,NEGATIVE,0.917633056640625
870,🥋,Martial Arts Uniform,A white uniform used in marital arts such as judo or karate. Held together using a material belt. Known as keikogi in Japanese.,keikogi japanese known belt white uniform used judo karate marital arts,NEGATIVE,0.9796426892280579
871,🥅,Goal Net,Goal Net was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,net approved unicode goal 2016 added emoji,NEGATIVE,0.9228870868682861
872,⛳,Flag in Hole,"A red, triangular flag shown sitting in the hole of a golf course green. Some versions of this emoji also include golf balls.",emoji include golf hole course green balls red triangular flag,NEGATIVE,0.9922202229499817
873,⛸️, Ice Skate,A single ice skate used for ice skating. Shown in white and facing right on most platforms.,single ice skate used skating shown white,NEGATIVE,0.9051414132118225
874,🎣,Fishing Pole,A fishing rod (pole) with a fish caught on the end.,fishing rod pole fish caught end,NEGATIVE,0.9658728837966919
875,🎽,Running Shirt,A singlet or running shirt. Shown with a sash.,running shirt shown sash singlet,NEGATIVE,0.8721863627433777
876,🎿,Skis,"A pair of skis which are shown on some platforms alongside ski poles and/or ski boots. The color and design of the skis varies by platform, with some versions also showing the skis moving at speed.",skis shown platforms pair alongside ski varies platform,NEGATIVE,0.9271581768989563
877,🛷,Sled,"A sled, otherwise known as a toboggan or sledge.",toboggan sledge sled known,NEGATIVE,0.9988932013511658
878,🥌,Curling Stone,Curling Stone was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,curling stone approved unicode 10 2017 added emoji,NEGATIVE,0.8079066872596741
879,🎯,Direct Hit,A dart board with dart hitting the center / bullseye region.,dart board hitting center,NEGATIVE,0.966556966304779
880,🎱,Pool 8 Ball,"The game of billiards, of which pool is a common version. This emoji displays the black 8 ball on most platforms, which looks similar to the Magic 8-Ball toy.",game billiards pool common black ball,NEGATIVE,0.9945284724235535
881,🎮,Video Game,"A video game emoji, shown on major platforms as a console gamepad with D-pad, joysticks, and buttons.",video game emoji shown console gamepad platforms,NEGATIVE,0.9931117296218872
